customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date,purchase_decision,Cluster,high_purchase_customer,purchase_label,Cluster_Label
65,18,0,6,75793,51,8,55.17,0,2,0.62,1,Customer service was unhelpful.,2024-08-30,1,0,0,0,High Value Customer
66,37,1,2,55073,32,24,35.5,9,24,0.22,0,Love the products and fast shipping.,2025-06-16,1,1,1,1,Low Engagement Customer
67,29,0,0,147313,60,31,55.55,8,17,0.7,0,Very satisfied with my purchase.,2025-09-07,1,3,1,1,Other
68,38,1,5,66581,96,18,58.32,3,26,0.56,0,Good quality and value for money.,2025-05-23,1,2,0,0,Potential Customer
69,69,1,5,42106,89,17,48.23,3,5,0.44,0,The website is easy to use.,2025-09-19,1,2,0,0,Potential Customer
70,68,0,4,100053,63,22,47.6,6,9,0.21,0,Excellent customer service.,2025-07-31,1,2,0,1,Potential Customer
71,48,1,4,102632,87,30,61.63,9,15,0.47,0,"Great experience, will shop again!",2025-08-05,1,3,1,1,Other
72,30,0,9,68663,76,23,51.29,5,21,0.04,0,Love the products and fast shipping.,2025-05-02,1,0,1,1,High Value Customer
73,47,1,4,80935,80,44,61.63,15,8,0.85,0,Good quality and value for money.,2025-06-11,1,2,1,1,Potential Customer
74,66,0,4,173654,42,22,60.07,5,9,0.61,1,"Poor quality, item broke after a week.",2025-03-25,1,3,0,1,Other
75,66,1,0,75601,74,11,52.0,0,12,0.43,0,Good quality and value for money.,2025-08-06,1,2,0,0,Potential Customer
76,23,0,4,49008,52,11,49.12,1,17,0.48,0,Love the products and fast shipping.,2025-08-05,1,0,0,0,High Value Customer
77,23,1,1,44193,81,17,50.25,3,12,0.99,0,Love the products and fast shipping.,2025-07-15,1,0,0,0,High Value Customer
78,29,1,4,141536,52,32,48.97,10,7,0.37,0,Very satisfied with my purchase.,2025-09-15,1,3,1,1,Other
79,60,0,5,59464,76,23,37.64,5,3,0.27,0,"Great experience, will shop again!",2025-06-08,1,2,1,1,Potential Customer
80,62,1,9,139813,58,25,57.78,6,12,0.63,0,The website is easy to use.,2025-05-23,1,3,1,1,Other
81,57,1,9,74130,88,23,52.8,5,11,0.68,0,"Great experience, will shop again!",2025-10-17,1,2,1,1,Potential Customer
82,21,1,2,69755,79,16,43.3,3,20,0.55,0,Very satisfied with my purchase.,2025-08-21,1,0,0,0,High Value Customer
83,21,1,0,109569,61,18,62.55,3,1,0.27,0,Excellent customer service.,2025-07-25,1,0,0,0,High Value Customer
84,65,0,9,116644,43,29,53.35,10,5,0.69,0,The website is easy to use.,2025-08-01,1,3,1,1,Other
85,35,1,9,89098,2,31,42.97,13,4,0.16,0,Good quality and value for money.,2025-06-23,1,1,1,1,Low Engagement Customer
86,67,1,0,107733,67,34,60.94,10,30,0.45,0,The website is easy to use.,2025-06-12,1,3,1,1,Other
87,46,0,9,144175,61,40,54.04,14,21,0.97,0,Excellent customer service.,2025-08-05,1,3,1,1,Other
88,49,0,0,64003,66,21,40.29,6,16,0.44,0,Love the products and fast shipping.,2025-10-12,1,2,0,0,Potential Customer
89,45,0,9,71924,23,25,43.47,10,23,0.94,1,The product did not match the description.,2024-03-04,1,1,1,1,Low Engagement Customer
90,46,1,3,61611,95,39,55.82,12,25,0.04,0,Love the products and fast shipping.,2025-06-26,1,2,1,1,Potential Customer
91,50,1,8,160669,93,41,63.03,12,26,0.62,0,Very satisfied with my purchase.,2025-08-31,1,3,1,1,Other
92,36,0,0,99353,66,20,43.4,4,14,0.82,1,Customer service was unhelpful.,2024-12-08,1,0,0,0,High Value Customer
93,25,1,2,69598,65,13,46.25,2,12,0.65,1,Customer service was unhelpful.,2023-12-01,1,0,0,0,High Value Customer
94,44,1,9,52614,93,41,52.26,14,18,0.04,0,Very satisfied with my purchase.,2025-08-27,1,2,1,1,Potential Customer
95,32,0,6,126930,53,25,65.44,7,12,0.58,0,"Great experience, will shop again!",2025-06-04,1,3,1,1,Other
96,57,1,6,59229,19,6,42.53,0,17,0.78,0,The website is easy to use.,2025-08-10,1,1,0,0,Low Engagement Customer
97,34,1,9,149375,76,44,57.53,15,11,0.65,0,Excellent customer service.,2025-08-05,1,3,1,1,Other
98,58,1,1,29383,84,10,40.12,0,2,0.16,0,Very satisfied with my purchase.,2025-05-29,1,2,0,0,Potential Customer
99,29,1,1,31252,64,26,38.86,8,22,0.9,0,Good quality and value for money.,2025-05-05,1,0,1,1,High Value Customer
100,68,1,5,54516,27,26,44.83,11,17,0.09,0,The website is easy to use.,2025-09-24,1,1,1,1,Low Engagement Customer
101,18,1,8,75852,24,5,46.3,0,2,0.34,0,Excellent customer service.,2025-10-17,1,0,0,0,High Value Customer
102,25,0,4,131872,62,25,60.62,6,22,0.68,0,The website is easy to use.,2025-08-05,1,3,1,1,Other
103,28,1,2,51958,67,29,47.97,10,13,0.26,0,"Great experience, will shop again!",2025-05-30,1,2,1,1,Potential Customer
104,67,1,2,176587,11,32,67.31,11,10,0.48,0,The website is easy to use.,2025-05-03,1,3,1,1,Other
105,25,1,8,141734,85,22,71.83,3,17,0.56,0,Very satisfied with my purchase.,2025-06-09,1,3,0,1,Other
106,32,0,5,46189,68,19,38.35,4,5,0.7,0,Good quality and value for money.,2025-08-19,1,0,0,0,High Value Customer
107,25,1,1,41748,29,6,32.45,0,17,0.45,0,Love the products and fast shipping.,2025-08-16,1,0,0,0,High Value Customer
108,29,0,1,70220,47,29,52.37,11,5,0.08,0,"Great experience, will shop again!",2025-10-18,1,2,1,1,Potential Customer
109,63,1,5,55771,79,32,51.81,10,1,0.66,0,Very satisfied with my purchase.,2025-08-13,1,2,1,1,Potential Customer
110,21,0,2,95375,26,14,52.98,3,2,0.3,0,Excellent customer service.,2025-06-12,1,0,0,0,High Value Customer
111,36,0,9,108813,86,27,60.38,7,7,0.74,0,Very satisfied with my purchase.,2025-10-04,1,3,1,1,Other
112,65,0,5,69090,91,32,47.59,10,2,0.91,1,Difficult to navigate the website.,2023-12-19,1,2,1,1,Potential Customer
113,50,0,4,174440,49,22,58.46,3,24,0.6,0,Good quality and value for money.,2025-05-27,1,3,0,1,Other
114,32,1,7,60363,17,10,39.3,3,30,0.82,1,Shipping was too slow.,2024-03-04,1,0,0,0,High Value Customer
115,52,0,8,111889,74,20,59.01,3,5,0.07,0,Very satisfied with my purchase.,2025-08-17,1,3,0,0,Other
116,54,1,5,40940,18,15,30.95,5,25,0.73,1,Customer service was unhelpful.,2024-11-16,1,1,0,0,Low Engagement Customer
117,44,1,5,46817,75,11,40.53,1,10,0.77,0,The website is easy to use.,2025-05-22,1,0,0,0,High Value Customer
118,33,1,9,135023,62,39,50.3,13,21,0.19,0,Excellent customer service.,2025-07-28,1,3,1,1,Other
119,69,1,9,117523,36,34,46.32,12,3,0.56,0,Very satisfied with my purchase.,2025-09-29,1,1,1,1,Low Engagement Customer
120,32,0,6,95325,30,20,38.53,6,25,0.21,0,Excellent customer service.,2025-08-01,1,0,0,0,High Value Customer
121,36,0,9,49872,42,19,37.45,6,15,0.05,0,Excellent customer service.,2025-10-05,1,1,0,0,Low Engagement Customer
122,21,0,1,54833,14,5,29.43,0,9,0.61,1,"Poor quality, item broke after a week.",2024-01-04,1,0,0,0,High Value Customer
123,52,0,5,69865,82,13,54.42,0,8,0.16,0,Good quality and value for money.,2025-07-22,1,2,0,0,Potential Customer
124,57,1,9,67489,48,33,37.82,13,7,0.28,0,"Great experience, will shop again!",2025-08-27,1,1,1,1,Low Engagement Customer
125,42,0,7,64119,53,15,40.85,2,28,0.91,0,Love the products and fast shipping.,2025-05-10,1,0,0,0,High Value Customer
126,68,1,1,82908,8,27,37.23,11,12,0.14,0,"Great experience, will shop again!",2025-05-13,1,1,1,1,Low Engagement Customer
127,29,0,1,78750,59,16,44.84,3,30,0.34,0,"Great experience, will shop again!",2025-08-09,1,0,0,0,High Value Customer
128,22,0,5,69592,27,12,34.38,2,7,0.09,0,Good quality and value for money.,2025-06-16,1,0,0,0,High Value Customer
129,57,1,1,28443,90,33,49.12,11,14,0.31,0,Good quality and value for money.,2025-08-13,1,2,1,1,Potential Customer
130,31,0,8,106308,68,29,50.86,8,24,0.19,0,Very satisfied with my purchase.,2025-08-17,1,0,1,1,High Value Customer
131,54,0,1,53228,27,20,29.95,7,19,0.48,0,Love the products and fast shipping.,2025-06-19,1,1,0,0,Low Engagement Customer
132,70,1,9,170143,78,18,73.37,1,24,0.96,0,Love the products and fast shipping.,2025-06-10,1,3,0,0,Other
133,47,1,3,89473,16,14,47.44,3,4,0.18,1,"Poor quality, item broke after a week.",2024-08-17,1,1,0,0,Low Engagement Customer
134,67,1,4,156580,46,15,59.87,1,19,0.02,0,"Great experience, will shop again!",2025-09-04,1,3,0,0,Other
135,36,0,5,68972,31,28,45.14,10,17,0.08,0,Very satisfied with my purchase.,2025-06-15,1,1,1,1,Low Engagement Customer
136,30,1,3,31280,20,6,39.51,2,13,0.88,1,Difficult to navigate the website.,2024-03-08,1,0,0,0,High Value Customer
137,45,0,4,61599,29,27,43.75,10,9,0.32,0,The website is easy to use.,2025-05-04,1,1,1,1,Low Engagement Customer
138,38,0,3,40541,21,16,27.59,6,1,0.83,0,"Great experience, will shop again!",2025-07-29,1,1,0,0,Low Engagement Customer
139,43,1,1,78489,44,38,37.07,14,27,0.49,0,Very satisfied with my purchase.,2025-09-13,1,1,1,1,Low Engagement Customer
140,59,1,8,140426,9,38,57.29,15,8,0.22,0,Love the products and fast shipping.,2025-10-27,1,3,1,1,Other
141,19,1,4,134534,75,19,54.1,1,29,0.38,0,"Great experience, will shop again!",2025-06-20,1,0,0,0,High Value Customer
142,47,0,5,46669,9,9,31.38,3,27,0.4,0,Good quality and value for money.,2025-09-28,1,1,0,0,Low Engagement Customer
143,39,1,2,83752,74,17,60.87,3,11,0.64,0,Love the products and fast shipping.,2025-09-27,1,2,0,0,Potential Customer
144,68,1,9,71726,28,18,33.76,5,4,0.82,1,Customer service was unhelpful.,2025-03-16,1,1,0,0,Low Engagement Customer
145,19,1,9,122092,70,17,63.88,1,3,0.66,0,Good quality and value for money.,2025-09-20,1,0,0,0,High Value Customer
146,38,0,4,41112,68,28,44.07,9,24,0.81,0,Love the products and fast shipping.,2025-05-08,1,2,1,1,Potential Customer
147,18,0,5,67787,54,10,48.78,0,24,0.43,0,Love the products and fast shipping.,2025-05-17,1,0,0,0,High Value Customer
148,36,1,5,61242,64,17,53.56,3,26,0.17,0,Very satisfied with my purchase.,2025-07-24,1,0,0,0,High Value Customer
149,66,0,3,94651,30,30,41.01,11,21,0.03,0,Excellent customer service.,2025-05-23,1,1,1,1,Low Engagement Customer
150,70,1,4,73191,75,25,56.41,7,20,0.84,0,The website is easy to use.,2025-07-18,1,2,1,1,Potential Customer
151,29,0,9,98102,9,17,44.15,5,9,0.34,0,Very satisfied with my purchase.,2025-07-09,1,0,0,0,High Value Customer
152,67,1,2,107866,56,14,51.79,2,30,0.64,0,Love the products and fast shipping.,2025-05-22,1,3,0,0,Other
153,55,1,8,71462,16,29,36.55,11,30,0.7,0,Love the products and fast shipping.,2025-08-19,1,1,1,1,Low Engagement Customer
154,41,0,9,86047,6,26,38.17,10,13,0.96,0,Excellent customer service.,2025-05-06,1,1,1,1,Low Engagement Customer
155,37,1,9,123418,94,34,62.77,8,26,0.79,0,Very satisfied with my purchase.,2025-09-05,1,3,1,1,Other
156,70,1,4,92677,77,20,63.66,3,24,0.84,0,Very satisfied with my purchase.,2025-09-22,1,3,0,0,Other
157,46,0,5,30928,8,31,29.28,14,2,0.24,1,Difficult to navigate the website.,2025-03-03,1,1,1,1,Low Engagement Customer
158,58,1,2,166503,59,38,57.6,12,2,0.68,0,Love the products and fast shipping.,2025-08-08,1,3,1,1,Other
159,33,0,1,43595,69,21,45.55,6,3,0.43,0,"Great experience, will shop again!",2025-10-20,1,0,0,0,High Value Customer
160,58,1,5,35114,11,12,24.61,4,13,0.81,0,Very satisfied with my purchase.,2025-05-17,1,1,0,0,Low Engagement Customer
161,69,0,2,154762,67,31,73.16,8,30,0.33,0,Good quality and value for money.,2025-07-27,1,3,1,1,Other
162,41,0,2,50302,37,23,38.57,7,29,0.91,1,I will not be shopping here again.,2024-08-10,1,1,1,1,Low Engagement Customer
163,24,1,5,63205,29,11,42.79,3,27,0.26,0,The website is easy to use.,2025-08-26,1,0,0,0,High Value Customer
164,31,0,8,84833,96,33,57.38,10,11,0.17,0,Very satisfied with my purchase.,2025-08-27,1,2,1,1,Potential Customer
165,25,0,5,71623,90,16,56.65,1,13,0.8,0,"Great experience, will shop again!",2025-10-17,1,0,0,0,High Value Customer
166,22,1,6,145694,30,18,52.47,4,14,0.24,0,Very satisfied with my purchase.,2025-06-15,1,0,0,0,High Value Customer
167,56,1,9,129703,48,40,56.64,14,11,0.54,0,The website is easy to use.,2025-07-29,1,3,1,1,Other
168,20,0,2,62500,55,11,37.23,1,24,0.35,0,Good quality and value for money.,2025-08-13,1,0,0,0,High Value Customer
169,63,0,9,125817,43,23,47.48,5,9,0.35,0,Good quality and value for money.,2025-10-04,1,3,1,1,Other
170,55,0,1,67532,76,23,45.15,6,1,0.06,0,"Great experience, will shop again!",2025-10-21,1,2,1,1,Potential Customer
171,41,1,0,59948,81,32,43.05,11,14,0.82,0,"Great experience, will shop again!",2025-07-30,1,2,1,1,Potential Customer
172,51,1,4,145412,12,35,49.27,12,11,0.66,0,Very satisfied with my purchase.,2025-07-12,1,3,1,1,Other
173,27,1,3,76806,23,24,32.67,9,4,0.87,0,Love the products and fast shipping.,2025-10-17,1,1,1,1,Low Engagement Customer
174,64,1,2,108668,59,16,63.16,3,20,0.8,1,Difficult to navigate the website.,2023-11-13,1,3,0,0,Other
175,39,1,8,141417,79,36,61.47,10,5,0.15,0,The website is easy to use.,2025-05-13,1,3,1,1,Other
176,37,1,4,84349,42,26,49.6,9,12,0.09,0,"Great experience, will shop again!",2025-07-17,1,2,1,1,Potential Customer
177,57,1,8,175453,74,46,61.1,15,18,0.18,0,Love the products and fast shipping.,2025-09-07,1,3,1,1,Other
178,42,1,9,62595,78,12,40.44,0,6,0.7,0,"Great experience, will shop again!",2025-07-02,1,0,0,0,High Value Customer
179,37,0,8,121632,87,30,55.07,7,7,0.84,0,Very satisfied with my purchase.,2025-06-29,1,3,1,1,Other
180,38,0,5,35127,64,22,39.23,7,19,0.48,0,Very satisfied with my purchase.,2025-10-17,1,2,0,1,Potential Customer
181,59,1,9,126954,89,21,59.14,2,10,0.89,0,Excellent customer service.,2025-09-09,1,3,0,0,Other
182,67,0,9,80058,19,31,45.51,13,7,0.78,0,The website is easy to use.,2025-08-23,1,1,1,1,Low Engagement Customer
183,27,0,4,45027,96,15,38.89,2,24,0.82,0,"Great experience, will shop again!",2025-08-03,1,0,0,0,High Value Customer
184,36,0,8,72745,20,14,39.42,4,18,0.31,0,Love the products and fast shipping.,2025-05-17,1,1,0,0,Low Engagement Customer
185,51,1,5,90909,29,18,48.63,5,25,0.54,0,Very satisfied with my purchase.,2025-10-08,1,1,0,0,Low Engagement Customer
186,35,1,4,68013,41,17,51.07,5,9,0.04,0,Love the products and fast shipping.,2025-10-19,1,0,0,0,High Value Customer
187,61,1,9,137242,91,33,60.79,8,12,0.99,0,Good quality and value for money.,2025-05-26,1,3,1,1,Other
188,45,1,4,64105,72,38,39.17,13,26,0.42,0,Love the products and fast shipping.,2025-07-11,1,2,1,1,Potential Customer
189,53,0,5,71049,82,41,55.59,14,30,0.63,0,"Great experience, will shop again!",2025-09-16,1,2,1,1,Potential Customer
190,60,0,5,44865,99,21,39.59,4,29,0.27,0,Very satisfied with my purchase.,2025-05-08,1,2,0,0,Potential Customer
191,70,1,4,165842,11,26,55.14,8,4,0.96,1,Shipping was too slow.,2025-01-30,1,3,1,1,Other
192,20,0,0,148011,4,8,40.52,1,7,0.55,0,Good quality and value for money.,2025-07-16,1,0,0,0,High Value Customer
193,19,0,5,32037,66,9,37.06,1,26,0.34,0,Very satisfied with my purchase.,2025-10-14,1,0,0,0,High Value Customer
194,26,1,6,121900,42,10,52.18,0,12,0.53,0,The website is easy to use.,2025-05-26,1,0,0,0,High Value Customer
195,22,1,2,104824,88,19,60.87,3,27,0.3,0,Excellent customer service.,2025-10-09,1,0,0,0,High Value Customer
196,30,0,3,45015,66,14,39.15,2,19,0.89,0,The website is easy to use.,2025-05-05,1,0,0,0,High Value Customer
197,66,0,1,85644,90,43,50.18,14,5,0.84,0,"Great experience, will shop again!",2025-06-12,1,2,1,1,Potential Customer
198,68,1,8,70352,89,19,54.54,4,7,0.68,0,Good quality and value for money.,2025-05-27,1,2,0,0,Potential Customer
199,51,0,5,85874,62,26,59.0,8,9,0.55,0,Excellent customer service.,2025-05-23,1,2,1,1,Potential Customer
200,39,1,6,144866,92,31,69.57,7,16,0.92,0,Excellent customer service.,2025-05-05,1,3,1,1,Other
201,35,1,8,77456,36,12,37.41,2,26,0.98,0,Good quality and value for money.,2025-05-26,1,0,0,0,High Value Customer
202,60,1,9,80281,65,39,54.85,13,4,0.37,0,Very satisfied with my purchase.,2025-08-10,1,2,1,1,Potential Customer
203,61,1,2,124886,14,20,41.91,5,25,0.94,1,I will not be shopping here again.,2024-06-01,1,1,0,0,Low Engagement Customer
204,62,1,6,166435,66,19,70.6,1,1,0.21,0,The website is easy to use.,2025-09-14,1,3,0,0,Other
205,35,0,5,28789,15,26,38.65,11,13,0.89,1,Shipping was too slow.,2024-02-27,1,1,1,1,Low Engagement Customer
206,33,1,5,29702,50,26,34.6,10,12,0.22,0,Very satisfied with my purchase.,2025-08-08,1,1,1,1,Low Engagement Customer
207,57,1,0,132529,73,17,69.21,1,9,0.97,1,I will not be shopping here again.,2025-04-13,1,3,0,0,Other
208,60,0,5,77262,82,31,56.65,9,15,0.54,0,Good quality and value for money.,2025-08-27,1,2,1,1,Potential Customer
209,29,0,1,77520,32,31,46.0,11,14,0.68,0,Very satisfied with my purchase.,2025-08-22,1,1,1,1,Low Engagement Customer
210,33,1,9,49090,72,29,51.39,10,19,0.45,0,Good quality and value for money.,2025-09-02,1,2,1,1,Potential Customer
211,46,1,7,45210,4,17,34.93,6,20,0.45,0,"Great experience, will shop again!",2025-10-18,1,1,0,0,Low Engagement Customer
212,47,0,9,148118,86,22,69.3,3,17,0.87,0,Very satisfied with my purchase.,2025-06-08,1,3,0,1,Other
213,68,1,5,31748,93,20,45.72,4,26,0.14,0,The website is easy to use.,2025-06-02,1,2,0,0,Potential Customer
214,23,0,5,29898,7,5,36.77,2,8,0.89,0,Love the products and fast shipping.,2025-10-12,1,0,0,0,High Value Customer
215,38,1,6,66942,79,29,44.49,9,14,0.78,0,Good quality and value for money.,2025-05-25,1,2,1,1,Potential Customer
216,50,1,5,52110,66,30,47.33,11,19,0.78,0,Love the products and fast shipping.,2025-08-06,1,2,1,1,Potential Customer
217,65,0,9,96343,89,31,53.38,8,23,0.35,0,The website is easy to use.,2025-10-23,1,2,1,1,Potential Customer
218,59,0,5,46263,38,6,39.46,0,10,0.7,0,Love the products and fast shipping.,2025-07-11,1,1,0,0,Low Engagement Customer
219,29,0,8,71510,43,25,40.68,8,14,0.1,0,Very satisfied with my purchase.,2025-06-20,1,0,1,1,High Value Customer
220,36,1,2,69840,60,38,39.08,13,7,0.8,1,I will not be shopping here again.,2025-04-04,1,2,1,1,Potential Customer
221,38,1,4,79084,58,34,48.24,11,17,0.4,0,The website is easy to use.,2025-09-12,1,2,1,1,Potential Customer
222,35,0,4,55733,34,33,38.19,14,21,0.79,0,Very satisfied with my purchase.,2025-06-16,1,1,1,1,Low Engagement Customer
